brand_name,sales
比亚迪,877309
大众,790220
丰田,640454
本田,414617
长安,387351
吉利,329045
五菱汽车,290377
奔驰,252339
日产,240108
奥迪,229493
特斯拉,219893
宝马,217630
别克,196507
广汽埃安,166323
哈弗,164661
奇瑞,144183
广汽传祺,132614
红旗,124160
理想,103840
现代,103242
长安欧尚,78925
凯迪拉克,71535
雪佛兰,65264
福特,64078
捷达,63535
荣威,62656
领克,61392
捷途,54948
沃尔沃,53414
腾势,45534
蔚来,43744
哪吒汽车,42505
东风风神,42339
坦克,41971
名爵,37626
思皓,37033
起亚,33394
小鹏汽车,32815
极氪,32013
深蓝汽车,31872
零跑汽车,31293
欧拉,28859
启辰,27946
吉利几何,25695
北京汽车,24915
马自达,24686
奔腾,24518
林肯,24151
东风风行,21602
smart,19711
凯翼,19100
AITO,18135
雪铁龙,15456
标致,15363
SWM斯威汽车,14873
北京,14119
星途,13416
路虎,13008
岚图汽车,12024
东风风光,11715
三菱,11652
魏牌,11160
斯柯达,10509
东风EV新能源,10507
上汽大通MAXUS,10214
合创,9068
阿维塔,9002
捷豹,8272
智己,7783
海马,7280
ARCFOX极狐,6557
大运汽车,6552
瑞风汽车,6476
睿蓝汽车,6440
凌宝汽车,6236
SRM鑫源,6081
创维汽车,5456
长安凯程,5365
国金汽车,5350
飞凡汽车,4900
金杯新能源,3730
宝骏,3224
英菲尼迪,3188
曹操汽车,3078
北汽制造,2674
SERES赛力斯,2121
江铃集团新能源,1833
中国重汽,1755
江淮,1490
思铭,1483
电动屋,1113
蓝电,1109
新宝骏,548
东南,512
东风富康,486
小虎,475
广汽集团,367
天际汽车,359
江淮钇为,348
DS,301
爱驰,111
讴歌,109
理念,81
开瑞,76
观致,23
福汽启腾,14
雷丁,1
